what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1326326501174
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1326326501175
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1326326501175
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1326326501175
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1326326501176
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1326326501176
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1326326501176
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1326326501177
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1326326501177
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1326326501178
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1326326501178
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1326326501179
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1326326501179
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1326326501180
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1326326501181
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1326326501181
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1326326501182
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1326326501182
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1326326501183
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1326326501183
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1326326501184
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1326326501184
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1326326501185
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326326501185
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1326326501186
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326326501186
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1326326501187
os,sysinfo,,,"macosx",1326326501190
arch,sysinfo,,,"x86_64",1326326501190
ws,sysinfo,,,"cocoa",1326326501190
locale,sysinfo,,,"en_US",1326326501190
processors,sysinfo,,,"4",1326326501190
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326326501190
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1326326501190
java.specification.name,sysinfo,,,"Java Platform API Specification",1326326501190
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326326501190
java.specification.version,sysinfo,,,"1.6",1326326501190
java.vendor,sysinfo,,,"Apple Inc.",1326326501190
java.version,sysinfo,,,"1.6.0_29",1326326501190
java.vm.info,sysinfo,,,"mixed mode",1326326501190
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1326326501190
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326326501190
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326326501190
java.vm.specification.version,sysinfo,,,"1.0",1326326501190
java.vm.vendor,sysinfo,,,"Apple Inc.",1326326501190
java.vm.version,sysinfo,,,"20.4-b02-402",1326326501190
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1326326501194
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1326326501265
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1326326501275
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1326326501316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326326502371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326326511276
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1326326520048
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1326326520049
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1326326524399
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326326524454
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326326524570
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1326326524650
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1326326525185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326326572647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326326573684
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1326326573743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326327317492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326327319496
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326327319668
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1326327320153
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1326327320298
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1326327320299
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1326327320299
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1326327320300
